,05-feb-21,,,,,,,,,,,
 ,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,ISIN,Bolsa de valores,Ubicación,Mercado de divisas
AAPL,APPLE INC,Equity,11.96,136.76,"6,256,192.00","855,596,817.92","855,596,817.92",Tecnología de la Información,US0378331005,NASDAQ,Estados Unidos,USD
MSFT,MICROSOFT CORP,Equity,9.42,242.2,"2,782,075.00","673,818,565.00","673,818,565.00",Tecnología de la Información,US5949181045,NASDAQ,Estados Unidos,USD
AMZN,AMAZON COM INC,Equity,8.65,"3,352.15","184,633.00","618,917,510.95","618,917,510.95",Consumo discrecional,US0231351067,NASDAQ,Estados Unidos,USD
TSLA,TESLA INC,Equity,5.14,852.23,"431,648.00","367,863,375.04","367,863,375.04",Consumo discrecional,US88160R1014,NASDAQ,Estados Unidos,USD
GOOG,ALPHABET INC CLASS C,Equity,3.56,"2,098.00","121,380.00","254,655,240.00","254,655,240.00",Comunicación,US02079K1079,NASDAQ,Estados Unidos,USD
FB,FACEBOOK CLASS A INC,Equity,3.32,268.1,"884,602.00","237,161,796.20","237,161,796.20",Comunicación,US30303M1027,NASDAQ,Estados Unidos,USD
GOOGL,ALPHABET INC CLASS A,Equity,3.23,"2,088.83","110,603.00","231,030,864.49","231,030,864.49",Comunicación,US02079K3059,NASDAQ,Estados Unidos,USD
NVDA,NVIDIA CORP,Equity,2.64,543.64,"346,707.00","188,483,793.48","188,483,793.48",Tecnología de la Información,US67066G1040,NASDAQ,Estados Unidos,USD
PYPL,PAYPAL HOLDINGS INC,Equity,2.47,269.44,"656,271.00","176,825,658.24","176,825,658.24",Tecnología de la Información,US70450Y1038,NASDAQ,Estados Unidos,USD
NFLX,NETFLIX INC,Equity,1.91,550.79,"247,453.00","136,294,637.87","136,294,637.87",Comunicación,US64110L1061,NASDAQ,Estados Unidos,USD
INTC,INTEL CORPORATION CORP,Equity,1.87,58.18,"2,295,197.00","133,534,561.46","133,534,561.46",Tecnología de la Información,US4581401001,NASDAQ,Estados Unidos,USD
ADBE,ADOBE INC,Equity,1.85,492.12,"268,694.00","132,229,691.28","132,229,691.28",Tecnología de la Información,US00724F1012,NASDAQ,Estados Unidos,USD
CMCSA,COMCAST CORP CLASS A,Equity,1.83,51.11,"2,557,379.00","130,707,640.69","130,707,640.69",Comunicación,US20030N1019,NASDAQ,Estados Unidos,USD
CSCO,CISCO SYSTEMS INC,Equity,1.59,48.08,"2,366,746.00","113,793,147.68","113,793,147.68",Tecnología de la Información,US17275R1023,NASDAQ,Estados Unidos,USD
PEP,PEPSICO INC,Equity,1.53,140.96,"774,040.00","109,108,678.40","109,108,678.40",Productos básicos de consumo,US7134481081,NASDAQ,Estados Unidos,USD
AVGO,BROADCOM INC,Equity,1.48,466.01,"226,567.00","105,582,487.67","105,582,487.67",Tecnología de la Información,US11135F1012,NASDAQ,Estados Unidos,USD
QCOM,QUALCOMM INC,Equity,1.29,145.84,"633,479.00","92,386,577.36","92,386,577.36",Tecnología de la Información,US7475251036,NASDAQ,Estados Unidos,USD
COST,COSTCO WHOLESALE CORP,Equity,1.23,355.17,"247,136.00","87,775,293.12","87,775,293.12",Productos básicos de consumo,US22160K1051,NASDAQ,Estados Unidos,USD
TXN,TEXAS INSTRUMENT INC,Equity,1.22,169.93,"514,149.00","87,369,339.57","87,369,339.57",Tecnología de la Información,US8825081040,NASDAQ,Estados Unidos,USD
TMUS,T MOBILE US INC,Equity,1.22,125.28,"695,208.00","87,095,658.24","87,095,658.24",Comunicación,US8725901040,NASDAQ,Estados Unidos,USD
AMGN,AMGEN INC,Equity,1.08,236.32,"326,071.00","77,057,098.72","77,057,098.72",Cuidado de la Salud,US0311621009,NASDAQ,Estados Unidos,USD
SBUX,STARBUCKS CORP,Equity,0.98,106.48,"657,410.00","70,001,016.80","70,001,016.80",Consumo discrecional,US8552441094,NASDAQ,Estados Unidos,USD
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.97,617.65,"111,947.00","69,144,064.55","69,144,064.55",Comunicación,US16119P1084,NASDAQ,Estados Unidos,USD
AMD,ADVANCED MICRO DEVICES INC,Equity,0.83,87.9,"673,670.00","59,215,593.00","59,215,593.00",Tecnología de la Información,US0079031078,NASDAQ,Estados Unidos,USD
INTU,INTUIT INC,Equity,0.8,389.38,"147,166.00","57,303,497.08","57,303,497.08",Tecnología de la Información,US4612021034,NASDAQ,Estados Unidos,USD
MELI,MERCADOLIBRE INC,Equity,0.75,"1,918.13","27,880.00","53,477,464.40","53,477,464.40",Consumo discrecional,US58733R1023,NASDAQ,Estados Unidos,USD
AMAT,APPLIED MATERIAL INC,Equity,0.72,100.71,"511,528.00","51,515,984.88","51,515,984.88",Tecnología de la Información,US0382221051,NASDAQ,Estados Unidos,USD
MU,MICRON TECHNOLOGY INC,Equity,0.71,81.1,"623,518.00","50,567,309.80","50,567,309.80",Tecnología de la Información,US5951121038,NASDAQ,Estados Unidos,USD
ISRG,INTUITIVE SURGICAL INC,Equity,0.7,762.25,"65,844.00","50,189,589.00","50,189,589.00",Cuidado de la Salud,US46120E6023,NASDAQ,Estados Unidos,USD
BKNG,BOOKING HOLDINGS INC,Equity,0.67,"2,096.42","22,938.00","48,087,681.96","48,087,681.96",Consumo discrecional,US09857L1089,NASDAQ,Estados Unidos,USD
GILD,GILEAD SCIENCES INC,Equity,0.67,68.46,"702,099.00","48,065,697.54","48,065,697.54",Cuidado de la Salud,US3755581036,NASDAQ,Estados Unidos,USD
JD,JD.COM ADR REPRESENTING INC,Equity,0.66,96.64,"488,062.00","47,166,311.68","47,166,311.68",Consumo discrecional,US47215P1066,NASDAQ,China,USD
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Equity,0.64,419.59,"109,095.00","45,775,171.05","45,775,171.05",Tecnología de la Información,US98980L1017,NASDAQ,Estados Unidos,USD
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.63,56.21,"801,031.00","45,025,952.51","45,025,952.51",Productos básicos de consumo,US6092071058,NASDAQ,Estados Unidos,USD
ATVI,ACTIVISION BLIZZARD INC,Equity,0.61,101.61,"432,881.00","43,985,038.41","43,985,038.41",Comunicación,US00507V1098,NASDAQ,Estados Unidos,USD
FISV,FISERV INC,Equity,0.59,112.22,"375,511.00","42,139,844.42","42,139,844.42",Tecnología de la Información,US3377381088,NASDAQ,Estados Unidos,USD
BIDU,BAIDU ADR REPTG INC CLASS A,Equity,0.58,270.13,"154,677.00","41,782,898.01","41,782,898.01",Comunicación,US0567521085,NASDAQ,China,USD
LRCX,LAM RESEARCH CORP,Equity,0.57,509.76,"80,659.00","41,116,731.84","41,116,731.84",Tecnología de la Información,US5128071082,NASDAQ,Estados Unidos,USD
ADP,AUTOMATIC DATA PROCESSING INC,Equity,0.56,167.28,"240,185.00","40,178,146.80","40,178,146.80",Tecnología de la Información,US0530151036,NASDAQ,Estados Unidos,USD
MRNA,MODERNA INC,Equity,0.55,176.24,"221,639.00","39,061,657.36","39,061,657.36",Cuidado de la Salud,US60770K1079,NASDAQ,Estados Unidos,USD
CSX,CSX CORP,Equity,0.53,88.55,"428,351.00","37,930,481.05","37,930,481.05",Industriales,US1264081035,NASDAQ,Estados Unidos,USD
ADSK,AUTODESK INC,Equity,0.53,305.86,"122,818.00","37,565,113.48","37,565,113.48",Tecnología de la Información,US0527691069,NASDAQ,Estados Unidos,USD
ILMN,ILLUMINA INC,Equity,0.49,428.91,"81,778.00","35,075,401.98","35,075,401.98",Cuidado de la Salud,US4523271090,NASDAQ,Estados Unidos,USD
PDD,PINDUODUO ADR REPRESENTING INC,Equity,0.46,196.16,"167,138.00","32,785,790.08","32,785,790.08",Consumo discrecional,US7223041028,NASDAQ,China,USD
VRTX,VERTEX PHARMACEUTICALS INC,Equity,0.44,215.26,"145,649.00","31,352,403.74","31,352,403.74",Cuidado de la Salud,US92532F1003,NASDAQ,Estados Unidos,USD
ADI,ANALOG DEVICES INC,Equity,0.43,148.76,"206,954.00","30,786,477.04","30,786,477.04",Tecnología de la Información,US0326541051,NASDAQ,Estados Unidos,USD
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.41,498.98,"58,731.00","29,305,594.38","29,305,594.38",Cuidado de la Salud,US75886F1075,NASDAQ,Estados Unidos,USD
NXPI,NXP SEMICONDUCTORS NV,Equity,0.4,181.99,"156,686.00","28,515,285.14","28,515,285.14",Tecnología de la Información,NL0009538784,NASDAQ,Estados Unidos,USD
ALGN,ALIGN TECHNOLOGY INC,Equity,0.38,620.45,"44,164.00","27,401,553.80","27,401,553.80",Cuidado de la Salud,US0162551016,NASDAQ,Estados Unidos,USD
MNST,MONSTER BEVERAGE CORP,Equity,0.38,91.1,"295,689.00","26,937,267.90","26,937,267.90",Productos básicos de consumo,US61174X1090,NASDAQ,Estados Unidos,USD
WDAY,WORKDAY INC CLASS A,Equity,0.37,263.95,"100,822.00","26,611,966.90","26,611,966.90",Tecnología de la Información,US98138H1014,NASDAQ,Estados Unidos,USD
DOCU,DOCUSIGN INC,Equity,0.36,250.37,"103,714.00","25,966,874.18","25,966,874.18",Tecnología de la Información,US2561631068,NASDAQ,Estados Unidos,USD
KDP,KEURIG DR PEPPER INC,Equity,0.36,32.53,"788,196.00","25,640,015.88","25,640,015.88",Productos básicos de consumo,US49271V1008,NASDAQ,Estados Unidos,USD
KLAC,KLA CORP,Equity,0.35,288.03,"86,514.00","24,918,627.42","24,918,627.42",Tecnología de la Información,US4824801009,NASDAQ,Estados Unidos,USD
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.34,49.81,"484,991.00","24,157,401.71","24,157,401.71",Productos básicos de consumo,US9314271084,NASDAQ,Estados Unidos,USD
EBAY,EBAY INC,Equity,0.34,62.23,"386,085.00","24,026,069.55","24,026,069.55",Consumo discrecional,US2786421030,NASDAQ,Estados Unidos,USD
IDXX,IDEXX LABORATORIES INC,Equity,0.34,502.64,"47,779.00","24,015,636.56","24,015,636.56",Cuidado de la Salud,US45168D1046,NASDAQ,Estados Unidos,USD
EXC,EXELON CORP,Equity,0.33,43.68,"546,416.00","23,867,450.88","23,867,450.88",Servicios,US30161N1019,NASDAQ,Estados Unidos,USD
ROST,ROSS STORES INC,Equity,0.33,118.72,"199,397.00","23,672,411.84","23,672,411.84",Consumo discrecional,US7782961038,NASDAQ,Estados Unidos,USD
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,0.33,129.48,"181,660.00","23,521,336.80","23,521,336.80",Consumo discrecional,US5719032022,NASDAQ,Estados Unidos,USD
ASML,ASML HOLDING ADR REPRESENTING NV,Equity,0.33,552.81,"42,423.00","23,451,858.63","23,451,858.63",Tecnología de la Información,USN070592100,NASDAQ,Holanda,USD
LULU,LULULEMON ATHLETICA INC,Equity,0.33,334.08,"69,970.00","23,375,577.60","23,375,577.60",Consumo discrecional,US5500211090,NASDAQ,Estados Unidos,USD
MTCH,MATCH GROUP INC,Equity,0.33,159.82,"145,731.00","23,290,728.42","23,290,728.42",Comunicación,US57667L1070,NASDAQ,Estados Unidos,USD
SNPS,SYNOPSYS INC,Equity,0.32,272.92,"85,005.00","23,199,564.60","23,199,564.60",Tecnología de la Información,US8716071076,NASDAQ,Estados Unidos,USD
KHC,KRAFT HEINZ,Equity,0.32,33.8,"684,785.00","23,145,733.00","23,145,733.00",Productos básicos de consumo,US5007541064,NASDAQ,Estados Unidos,USD
EA,ELECTRONIC ARTS INC,Equity,0.32,141.22,"162,353.00","22,927,490.66","22,927,490.66",Comunicación,US2855121099,NASDAQ,Estados Unidos,USD
BIIB,BIOGEN INC,Equity,0.32,265.09,"86,181.00","22,845,721.29","22,845,721.29",Cuidado de la Salud,US09062X1037,NASDAQ,Estados Unidos,USD
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.31,82.19,"271,971.00","22,353,296.49","22,353,296.49",Servicios,US0255371017,NASDAQ,Estados Unidos,USD
NTES,NETEASE ADR INC,Equity,0.31,124.02,"180,031.00","22,327,444.62","22,327,444.62",Comunicación,US64110W1027,NASDAQ,China,USD
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.31,74.5,"299,438.00","22,308,131.00","22,308,131.00",Tecnología de la Información,US1924461023,NASDAQ,Estados Unidos,USD
DXCM,DEXCOM INC,Equity,0.31,411.03,"53,786.00","22,107,659.58","22,107,659.58",Cuidado de la Salud,US2521311074,NASDAQ,Estados Unidos,USD
PTON,PELOTON INTERACTIVE CLASS A INC,Equity,0.3,148.3,"143,313.00","21,253,317.90","21,253,317.90",Consumo discrecional,US70614W1009,NASDAQ,Estados Unidos,USD
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,0.3,135.8,"156,234.00","21,216,577.20","21,216,577.20",Tecnología de la Información,US1273871087,NASDAQ,Estados Unidos,USD
MCHP,MICROCHIP TECHNOLOGY INC,Equity,0.3,145.44,"145,839.00","21,210,824.16","21,210,824.16",Tecnología de la Información,US5950171042,NASDAQ,Estados Unidos,USD
CTAS,CINTAS CORP,Equity,0.28,344.98,"58,602.00","20,216,517.96","20,216,517.96",Industriales,US1729081059,NASDAQ,Estados Unidos,USD
SGEN,SEAGEN INC,Equity,0.27,190.61,"100,994.00","19,250,466.34","19,250,466.34",Cuidado de la Salud,US81181C1045,NASDAQ,Estados Unidos,USD
OKTA,OKTA INC CLASS A,Equity,0.27,282.94,"67,284.00","19,037,334.96","19,037,334.96",Tecnología de la Información,US6792951054,NASDAQ,Estados Unidos,USD
ALXN,ALEXION PHARMACEUTICALS INC,Equity,0.26,153.92,"122,568.00","18,865,666.56","18,865,666.56",Cuidado de la Salud,US0153511094,NASDAQ,Estados Unidos,USD
MRVL,MARVELL TECHNOLOGY GROUP LTD,Equity,0.26,50.05,"375,877.00","18,812,643.85","18,812,643.85",Tecnología de la Información,BMG5876H1051,NASDAQ,Estados Unidos,USD
PCAR,PACCAR INC,Equity,0.26,96.58,"194,034.00","18,739,803.72","18,739,803.72",Industriales,US6937181088,NASDAQ,Estados Unidos,USD
XLNX,XILINX INC,Equity,0.26,136.48,"137,291.00","18,737,475.68","18,737,475.68",Tecnología de la Información,US9839191015,NASDAQ,Estados Unidos,USD
XEL,XCEL ENERGY INC,Equity,0.26,63.44,"294,305.00","18,670,709.20","18,670,709.20",Servicios,US98389B1008,NASDAQ,Estados Unidos,USD
PAYX,PAYCHEX INC,Equity,0.26,91.63,"201,357.00","18,450,341.91","18,450,341.91",Tecnología de la Información,US7043261079,NASDAQ,Estados Unidos,USD
ANSS,ANSYS INC,Equity,0.26,379.48,"48,103.00","18,254,126.44","18,254,126.44",Tecnología de la Información,US03662Q1058,NASDAQ,Estados Unidos,USD
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.25,448.29,"40,578.00","18,190,711.62","18,190,711.62",Consumo discrecional,US67103H1077,NASDAQ,Estados Unidos,USD
TEAM,ATLASSIAN PLC CLASS A,Equity,0.25,243.8,"74,130.00","18,072,894.00","18,072,894.00",Tecnología de la Información,GB00BZ09BD16,NASDAQ,Estados Unidos,USD
VRSK,VERISK ANALYTICS INC,Equity,0.24,187.43,"91,067.00","17,068,687.81","17,068,687.81",Industriales,US92345Y1064,NASDAQ,Estados Unidos,USD
SWKS,SKYWORKS SOLUTIONS INC,Equity,0.23,178.95,"93,025.00","16,646,823.75","16,646,823.75",Tecnología de la Información,US83088M1027,NASDAQ,Estados Unidos,USD
CPRT,COPART INC,Equity,0.22,119.39,"132,264.00","15,790,998.96","15,790,998.96",Industriales,US2172041061,NASDAQ,Estados Unidos,USD
SPLK,SPLUNK INC,Equity,0.21,170.24,"89,839.00","15,294,191.36","15,294,191.36",Tecnología de la Información,US8486371045,NASDAQ,Estados Unidos,USD
FAST,FASTENAL,Equity,0.21,47.3,"321,527.00","15,208,227.10","15,208,227.10",Industriales,US3119001044,NASDAQ,Estados Unidos,USD
SIRI,SIRIUS XM HOLDINGS INC,Equity,0.2,6.11,"2,380,093.00","14,530,467.77","14,530,467.77",Comunicación,US82968B1035,NASDAQ,Estados Unidos,USD
DLTR,DOLLAR TREE INC,Equity,0.19,105.65,"131,727.00","13,916,298.91","13,916,298.91",Consumo discrecional,US2567461080,NASDAQ,Estados Unidos,USD
CERN,CERNER CORP,Equity,0.19,79.82,"171,727.00","13,707,249.14","13,707,249.14",Cuidado de la Salud,US1567821046,NASDAQ,Estados Unidos,USD
MXIM,MAXIM INTEGRATED PRODUCTS INC,Equity,0.19,89.2,"149,713.00","13,354,399.60","13,354,399.60",Tecnología de la Información,US57772K1016,NASDAQ,Estados Unidos,USD
VRSN,VERISIGN INC,Equity,0.18,199.52,"63,914.00","12,752,121.28","12,752,121.28",Tecnología de la Información,US92343E1029,NASDAQ,Estados Unidos,USD
CDW,CDW CORP,Equity,0.17,150.97,"80,086.00","12,090,583.42","12,090,583.42",Tecnología de la Información,US12514G1085,NASDAQ,Estados Unidos,USD
INCY,INCYTE CORP,Equity,0.15,90.24,"122,666.00","11,069,379.84","11,069,379.84",Cuidado de la Salud,US45337C1027,NASDAQ,Estados Unidos,USD
TCOM,TRIP COM GROUP ADR LTD,Equity,0.14,34.92,"292,910.00","10,228,417.20","10,228,417.20",Consumo discrecional,US89677Q1076,NASDAQ,China,USD
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES,Equity,0.13,118.26,"78,521.00","9,285,893.46","9,285,893.46",Tecnología de la Información,IL0010824113,NASDAQ,Israel,USD
FOXA,FOX CORP CLASS A,Equity,0.08,31.42,"182,941.00","5,748,006.22","5,748,006.22",Comunicación,US35137L1052,NASDAQ,Estados Unidos,USD
 ,,,,,,,,,,,,
